Table 19. Sample Impact Distribution for Atlas IIAS with No Breakup

| 130 | 266 | 251 | 227 | 195 | 126 | 86 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2246 | 0.83 |
| 135 | 283 | 259 | 227 | 176 | 128 | 77 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2221 | 0.82 |
| 140 | 286 | 244 | 184 | 186 | 169 | 63 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2138 | 0.79 |
| 145 | 305 | 243 | 187 | 180 | 118 | 59 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2102 | 0.78 |
| 150 | 251 | 225 | 178 | 166 | 128 | 72 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1895 | 0.70 |
| 155 | 293 | 259 | 199 | 151 | 113 | 68 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2103 | 0.78 |
| 160 | 253 | 213 | 220 | 177 | 127 | 59 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1952 | 0.72 |
| 165 | 254 | 242 | 203 | 172 | 115 | 68 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2008 | 0.74 |
| 170 | 298 | 256 | 195 | 171 | 127 | 60 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2034 | 0.75 |
| 175 | 312 | 267 | 205 | 140 | 131 | 59 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2018 | 0.75 |
| Total | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 10000 | 270000 | 100.00 |

9/10/96  &nbsp
