Featured,Redaction,Release Date,Title,Type,Video Pairing,PDF Pairing,Description Blurb,DVIDS Video ID,Video Title,Agency,Incident Date,Incident Location,PDF | Image Link,Modal Image,Image Alt Text,Image VIRIN,
,,9/18/26,"DOW-UAP-D103, Project Blue Book Photo File Relating to Tremonton Film, Utah, 1952",PDF,DOW-UAP-PR159,DOW-UAP-D098 | DOW-UAP-D102 |  DOW-UAP-D104 | DOW-UAP-D105,"During its investigation of a July 1952 film of an incident reported near Tremonton, Utah, Project Blue Book examined whether the objects recorded on film might have been “pillow balloons.” Project Blue Book was a U.S. Air Force program active from 1952 to 1969 that investigated the nature and origin of unidentified flying objects (UFOs). In December 1952, investigators contacted General Mills, Inc., the only known manufacturer of pillow balloons at the time, to determine whether a balloon release could account for the incident.

The file includes example imagery of pillow balloons supplied by General Mills Research Laboratories. In late December 1952, Project Blue Book personnel, balloon specialists, and representatives from General Mills reviewed the Tremonton footage. The group’s consensus was that the objects closely resembled pillow balloons in flight and behaved consistently with that explanation. One General Mills representative was less convinced, noting that the objects appeared somewhat too bright and seemed to maneuver too rapidly.

The reviewers also questioned previous angular-velocity calculations suggesting that the objects moved at a high rate of speed because those calculations depended on the unverified assumption that the camera operator had held the camera still during filming. Subsequent efforts to identify a pillow-balloon release in the Tremonton area were unsuccessful. The file also considered seabirds as a possible explanation, citing similar films showing seabirds as bright points of light under comparable conditions. Later Air Force assessments favored the seabird attribution.",,,Department of War,7/2/52,"Tremonton, Utah",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D103_Project-Blue-Book-Photo-File-Relating-to-Tremonton-Film-Utah-1952.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D103_Project-Blue-Book-Photo-File-Relating-to-Tremonton-Film-Utah-1952.jpg,Black-and-white photo of two men launching a cluster of pillow balloons.,260918-D-D0360-1092,
,,9/18/26,"DOW-UAP-D104, Final Personnel Record for Newhouse, Delbert C., U.S. Navy, 1957",PDF,DOW-UAP-PR159,DOW-UAP-D098 | DOW-UAP-D102 | DOW-UAP-D103 | DOW-UAP-D105,"This file contains the final personnel record of U.S. Navy Chief Warrant Officer Delbert C. Newhouse, who left naval service as a Chief Warrant Officer 4, then the highest Warrant Officer grade. In July 1952, Newhouse recorded 16mm motion-picture film near Tremonton, Utah; the film later became the subject of a Project Blue Book investigation. Project Blue Book was the U.S. Air Force program active from 1952 to 1969 that investigated the nature and origin of unidentified flying objects (UFOs). In addition to documenting routine assignments and training, the file records Newhouse’s career progression as a Photographer’s Mate, a Navy enlisted specialty responsible for photography and related imaging work. Project Blue Book investigators characterized Newhouse as an expert photographer based on his naval experience.",,,Department of War,5/2/57,N/A,https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D104_Final-Personnel-Record-for-Newhouse-Delbert-C-US-Navy-1957.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D104_Final-Personnel-Record-for-Newhouse-Delber-C-US-Navy-1957.jpg,Navy letter about a servicemember’s transfer to the Regular Navy.,260918-D-D0360-1093,
,,9/18/26,"DOW-UAP-D105, U.S. Air Force Flying Discs File, 1952",PDF,DOW-UAP-PR159,DOW-UAP-D098 | DOW-UAP-D102 | DOW-UAP-D103 | DOW-UAP-D104,"This file is an archival collection of U.S. Air Force Director of Intelligence records relating to reported “flying disc” incidents during the period from September through December 1952. Drawn from multiple governmental and non-governmental sources, it compiles a wide range of material associated with reported sightings and official handling of those observations, rather than presenting a single analytical conclusion on the nature or origin of “flying discs.” The contents include correspondence, memoranda, reporting forms, case summaries, distribution and routing material, and other administrative or intelligence-related documentation tied to flying-disc reporting and review during that period. Pages 26-36 of the file refer to an incident reported near Tremonton, Utah, in July 1952, in which a U.S. Navy Warrant Officer recorded film of unidentified objects that the Air Force later assessed were likely seabirds. Overall, the file is a broad documentary collection reflecting how such reports were recorded, circulated, and evaluated in late 1952.",,,Department of War,September - December 1952,Various,https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D105_US-Air-Force-Flying-Discs-File-September-December-1952.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D105_US-Air-Force-Flying-Discs-File-September-December-1952.jpg,Handwritten letter or document from an Air Force flying-disc file.,260918-D-D0360-1094,
,TRUE,9/18/26,"DOW-UAP-D106, Mission Report, Iraq, 2022",PDF,DOW-UAP-PR130 | DOW-UAP-PR131,,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report unidentiﬁed anomalous phenomena (UAP) to the All-domain Anomaly Resolution Office (AARO). The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. This mission report accompanies still imagery derived from an infrared system aboard a U.S. military platform in 2022 (DOW-UAP-PR130 and DOW-UAP-PR 131).

A U.S. military operator reported observing UAP “ﬂying sporadically within the target area… at various speeds between 80 and 180 miles per hour.” The reporter estimates the size of the UAP as between 1 and 2 meters (approximately 3-6 feet), and states that they were unable to determine the altitude of the phenomena.
All descriptive and estimative language contained in this report reﬂects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.",,,Department of War,2022,Iraq,https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D106_Mission-Report-Iraq-2022.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D106_Mission-Report-Iraq-2022.jpg,"Military mission report with headings, dates, and redacted text.",260918-D-D0360-1095,
,TRUE,9/18/26,"DOW-UAP-D107, Mission Report, Middle East, 2025",PDF,DOW-UAP-PR133,,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report unidentiﬁed anomalous phenomena (UAP) to the All-domain Anomaly Resolution Office (AARO). The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. This mission report accompanies video footage derived from an infrared system aboard a U.S. military platform in 2025 (DOW-UAP-PR133).

A U.S. military operator reported observing UAP, describing it as “look[ing] like a white round orbit… moving as fast as 500 miles per hour.”

All descriptive and estimative language contained in this report reﬂects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.",,,Department of War,2025,Middle East,https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D107_Mission-Report-Middle-East-2025.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D107_Mission-Report-Middle-East-2025.jpg,"Military mission report with headings, dates, and redacted text.",260918-D-D0360-1096,
,TRUE,9/18/26,"DOW-UAP-D108, Mission Report, Middle East, 2025",PDF,DOW-UAP-PR135,,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report unidentiﬁed anomalous phenomena (UAP) to the All-domain Anomaly Resolution Office (AARO). The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. This mission report accompanies video footage derived from an infrared system aboard a U.S. military platform in 2025 (DOW-UAP-PR135).

A U.S. military operator reported observing UAP, describing it as consisting of “six small spherical objects grouped together, and characterized their behavior as “seem[ingle] agile,” and “frequently changing direction.” The reporter estimated the speed of the UAP to have been 480 miles per hour.

All descriptive and estimative language contained in this report reﬂects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.",,,Department of War,2025,Middle East,https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D108_Mission-Report-Middle-East-2025.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D108_Mission-Report-Middle-East-2025.jpg,"Military mission report with headings, dates, and redacted text.",260918-D-D0360-1097,
,TRUE,9/18/26,"DOW-UAP-D109, Mission Report, Middle East, 2022",PDF,DOW-UAP-PR140 | DOW-UAP-PR141,,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report unidentiﬁed anomalous phenomena (UAP) to the All-domain Anomaly Resolution Office (AARO). The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. This mission report accompanies video footage derived from an infrared system aboard a U.S. military platform in 2022 (DOW-UAP-PR140 and DOW-UAP-PR141).

A U.S. military operator reported observing UAP, describing it as consisting of “six small spherical objects grouped together. They characterized the behavior of the UAP as “seem[ingle] agile,” and “frequently changing direction.” The reporter estimated the speed of the UAP to have been 480 miles per hour.

All descriptive and estimative language contained in this report reﬂects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.",,,Department of War,2022,Iraq,https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D109_Mission-Report-Middle-East-2022.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D109_Mission-Report-Middle-East-2022.jpg,"Military mission report with headings, dates, and redacted text.",260918-D-D0360-1098,
,TRUE,9/18/26,"DOW-UAP-D112, AAWSAP Contract Modification P00001, September 2009",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This September 2009 contract modification formally extends the Bigelow Aerospace Advanced Space Studies (BAASS) contract through 30 September 2009, revises the option-year dates to run from 1 October 2009 through 30 September 2010, and exercises the first option year subject to the availability of appropriated funds. The document carries forward the same major deliverable categories as the original contract.",,,Department of War,9/2/09,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D112_AAWSAP-Contract-Modification-P00001-September-2-2009.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D112_AAWSAP-Contract-Modification-P00001-September-2-2009.jpg,A form documenting a modification to a government contract.,260918-D-D0360-1101,
,TRUE,9/18/26,"DOW-UAP-D113, AAWSAP Contract Modification P00002, February 2010",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This February 2010 contract modification provides funding for the exercise of Option Year 1 under contract HHM402-08-C-0072 and removes the availability-of-funds contingency that had been imposed in modification P00001. It also states that the modification identifies impacts to deliverables resulting from reduced Option Year 1 funding and incorporates revised documentation showing how Fiscal Year 2010 funds would be used. The modification converts the previously contingent option-year continuation into a funded contract action while acknowledging that reduced funding would affect the planned scope or timing of deliverables.",,,Department of War,2/2/10,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D113_AAWSAP-Contract-Modification-P00002-February-2-2010.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D113_AAWSAP-Contract-Modification-P00002-February-2-2010.jpg,A form documenting a modification to a government contract.,260918-D-D0360-1102,
,TRUE,9/18/26,"DOW-UAP-D114, AAWSAP Contract Modification P00003, May 2010",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This May 2010 contract modification is an administrative change to contract HHM402-08-C-0072. The modification states that its purpose is to change the Contracting Officer’s Representative (COR) designation for the AAWSAP contract and identifies the newly designated COR while specifying that guidance from the COR must comply with the contract’s governing terms. In effect, the file is best understood as an internal contract-administration update reflecting oversight realignment rather than a substantive change to AAWSAP’s research deliverables or program direction.",,,Department of War,5/18/10,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D114_AAWSAP-Contract-Modification-P00003-May-18- 2010.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D114_AAWSAP-Contract-Modification-P00003-May-18-2010.jpg,A form documenting a modification to a government contract.,260918-D-D0360-1103,
,TRUE,9/18/26,"DOW-UAP-D115, AAWSAP Contract Modification P00004, May 2010",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This May 2010 contract modification records a minor administrative action associated with the AAWSAP contract (HHM402-08-C-0072) to align internal recordkeeping with a change to the Contracting Officer’s Representative documented in a separate contract modification (P00003).",,,Department of War,5/18/10,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D115_AAWSAP-Contract-Modification-P00004-May-18-2010.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D115_AAWSAP-Contract-Modification-P00004-May-18-2010.jpg,A form documenting a modification to a government contract.,260918-D-D0360-1104,
,TRUE,9/18/26,"DOW-UAP-D116, AAWSAP Contract Modification P00005, September 2010",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This September 2010 contract modification extends the period of performance for the AAWSAP contract (HHM402-08-C-0072) from September 22, 2010, to December 21, 2010. The modification states that no additional funding was required for the extension and that no other changes were made to the contract. This bridge action extended AAWSAP contractor support beyond the previously established performance end date without changing the underlying scope of work.",,,Department of War,9/28/10,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D116_AAWSAP-Contract-Modification-P00005-September-28-2010.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D116_AAWSAP-Contract-Modification-P00005-September-28-2010.jpg,A form documenting a modification to a government contract.,260918-D-D0360-1105,
,TRUE,9/18/26,"DOW-UAP-D118, AAWSAP DIRD, Aerospace Applications of Programmable Matter, December 2009",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is a Defense Intelligence Reference Document (DIRD), a technical reference format used by the Defense Intelligence Agency (DIA) to capture baseline knowledge on a specific topic for later analytic use. DIRDs are best understood as reference and synthesis products rather than as original research. It is one of 38 DIRDs produced under the Advanced Aerospace Weapon System Applications Program (AAWSAP) between 2009 and 2011. Because AAWSAP’s scope permitted a broad range of supporting topics, not every DIRD in the series directly concerns aerospace systems or future threat assessment. The following summary reflects the DIRD’s scope and framing at the time of writing and should not be read as implying current validation of the concepts discussed.

This DIRD describes “programmable matter” as smart materials whose properties can be changed on command, potentially allowing spacecraft components to change function through software updates rather than physical repair or replacement. The report suggests that such materials could someday enable adjustable sensors, smart windows, heat control, energy collection, active camouflage, and systems that switch between different functions, making spacecraft more flexible and adaptable. At the same time, it presents the idea as highly speculative and emphasizes major technical obstacles, including manufacturing at extremely small scales, shielding against radiation and electromagnetic interference, managing temperature effects, reducing component failures, and preventing hacking or malicious control. Overall, the document presents programmable matter as a promising long-term concept over the next 50 years, while judging that simpler near-term uses such as smart windows and energy-saving surface materials are far more realistic than the more ambitious aerospace applications.",,,Department of War,12/14/09,"Las Vegas, Nevada",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D118_AAWSAP-DIRD-Aerospace-Applications-of-Programmable-Matter-December-14-2009.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D118_AAWSAP-DIRD-Aerospace-Applications-of-Programmable-Matter-December-14-2009.jpg,Photos show window film changing from clear to reflective when heated.,260918-D-D0360-1107,
,TRUE,9/18/26,"DOW-UAP-D119, AAWSAP DIRD, Biomaterials, January 2010",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is a Defense Intelligence Reference Document (DIRD), a technical reference format used by the Defense Intelligence Agency (DIA) to capture baseline knowledge on a specific topic for later analytic use. DIRDs are best understood as reference and synthesis products rather than as original research. It is one of 38 DIRDs produced under the Advanced Aerospace Weapon System Applications Program (AAWSAP) between 2009 and 2011. Because AAWSAP’s scope permitted a broad range of supporting topics, not every DIRD in the series directly concerns aerospace systems or future threat assessment. The following summary reflects the DIRD’s scope and framing at the time of writing and should not be read as implying current validation of the concepts discussed.

This DIRD is a broad survey of biomaterials, including metals, polymers, ceramics, glasses, and composites designed to interact with living tissue, and argues that their value depends mainly on biocompatibility, reliability, and careful matching of material properties to specific medical uses. The report reviews major application areas including biosensors, implants, cardiovascular devices, contact lenses, drug delivery systems, tissue constructs, titanium devices, and dialysis membranes, emphasizing that no single biomaterial works best in every setting. Its overall conclusion is that biomaterials are already foundational to a large medical-device industry and save or improve millions of lives, but that progress tends to be slow because safety testing is stringent; as a result, most advances come from improved ways of applying established materials such as silicone, Teflon, biodegradable polymers, ceramics, and titanium in new devices and clinical settings rather than from radically new substances.",,,Department of War,1/7/10,"Las Vegas, Nevada",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D119_AAWSAP-DIRD-Biomaterials-January-7-2010.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D119_AAWSAP-DIRD-Biomaterials-January-7-2010.jpg,Example imagery of materials typically used in biosensor membranes.,260918-D-D0360-1108,
