Featured,Redaction,Release Date,Title,Type,Video Pairing,PDF Pairing,Description Blurb,DVIDS Video ID,Video Title,Agency,Incident Date,Incident Location,PDF | Image Link,Modal Image,Image Alt Text,Image VIRIN,,,,,,,,,,,,
,,8/7/26,"CIA-UAP-D023, Briefing Notes for Mr. Walter Elder",PDF,,CIA-UAP-D022,"This document contains briefing material prepared for Mr. Walter N. Elder, Executive Assistant to the Director of the Central Intelligence Agency (CIA), regarding a November 19, 1964, incident allegedly involving unidentified aircraft in the vicinity of Puerto Rico. The previous entry in this collection, CIA-UAP-D022, contains CIA memoranda on the same subject matter. The briefing includes additional details regarding that incident, including a characterization of the meteorological conditions and sensing capabilities of nearby U.S. military collection systems.

The briefing states that a radar system aboard USS Gyatt, a guided missile destroyer operating in the vicinity, detected a contact tracking more than 3,800 knots (approximately 4,373 mph) over a period of 21 minutes. The briefing contains visual estimates regarding the phenomenon’s apparent capabilities from the pilot of an F-8 Crusader who was present during the incident.",,,CIA,Undated,Caribbean Sea,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/CIA-UAP-D023_Briefing-Notes-for-Mr-Walter-Elder.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/CIA-UAP-D023_Briefing-Notes-for-Mr-Walter-Elder.jpg,"Briefing materials prepared for Mr. Walter N. Elder, Executive Assistant to the Director of the CIA, regarding a reported unidentified flying object.",260807-O-D0360-1140,,,,,,,,,,,,
,,8/7/26,"DOS-UAP-D001, Diplomatic Cable, Brazil, November 14, 1963",PDF,,EOP-UAP-D001 | DOS-UAP-D002,"This document is a U.S. Department of State diplomatic cable from the U.S. Embassy in Rio de Janeiro, Brazil to the Office of the Secretary of State in Washington, D.C., on November 14, 1963. This cable documents an effort by the Embassy to verify that the Department had assessed certain content published in a local newspaper as inauthentic, following a discussion on a poor-quality telephone connection the previous night.

To ensure both offices were referencing the same reporting, the cable cites descriptive language paraphrased from the press, namely a “large metal manned balloon” and a “dead crewman aboard wearing [a] uniform or spacesuit with strange markings.” The cable concludes with the embassy’s understanding that an object assessed to be a weather balloon had been reported in the vicinity, but that no such object had been found to have crashed. A follow-on correspondence regarding the alleged incident is included in this collection under the title “DOS-UAP-D002.”",,,Department of State,11/14/63,"Bahia, Brazil",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOS-UAP-D001_Diplomatic-Cable_Brazil_November-14-1963.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOS-UAP-D001_Diplomatic-Cable_Brazil_November-14-1963.jpg,A U.S. Department of State communication from the American Embassy in Rio de Janeiro regarding local reports of a crashed unidentified object.,260807-O-D0360-1141,,,,,,,,,,,,
,,8/7/26,"DOS-UAP-D002, Diplomatic Cable, Brazil, November 20, 1963",PDF,,EOP-UAP-D001 | DOS-UAP-D001,"This document is a U.S. Department of State diplomatic cable from the U.S. Embassy in Rio de Janeiro, Brazil to the Office of the Secretary of State in Washington, D.C., on November 20, 1963. This cable relays the findings of the scientific attaché at the American Consulate in Salvador, Bahia, Brazil, that a widely reported incident allegedly involving a crashed unidentified object was unsubstantiated, characterizing the reports as a fabrication originating in Rio de Janeiro.

The Consulate cites a lack of contemporary local reporting regarding the alleged incident, as well as contradictory reporting from local newspapers after the fact, as evidence that the published claims are unsubstantiated. The Consulate also cites a statement from the Brazilian Ministry of Aeronautics categorically denying that there was “any “strange object” in Conde [Bahia].” This correspondence follows a previous exchange between the Embassy and the Department of State, included in this collection under the title “DOS-UAP-D001.” ",,,Department of State,11/20/63,"Bahia, Brazil",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOS-UAP-D002_Diplomatic-Cable_Brazil_November-20-1963.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOS-UAP-D002_Diplomatic-Cable_Brazil_November-20-1963.jpg,A U.S. Department of State communication from the American Embassy in Rio de Janeiro regarding local reports of a crashed unidentified object.,260807-O-D0360-1142,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-D099, Intelligence Review of “Ghost Rocket” Incidents, 1947",PDF,,,"This document is a U.S. Department of War General Staff intelligence review assessing incidents involving unidentified “Ghost Rockets” reported over Sweden and other Scandinavian countries beginning in May 1946. The review includes an analysis of observational reports, statements from the Swedish government, and reporting from the U.S. military attaché in Stockholm. The review highlights the inconclusive nature of the contemporary evidence available to substantiate reports from civilian and military observers. 

The review also documents a change in the public stance of the Swedish Defense Staff, which privately attributed the objects to Soviet V-1 missile tests launched from Peenemünde. Peenemünde is a then-occupied municipality in northeastern Germany that had been associated with the development of the V-1 and V-2 rocket program during World War II. The Swedish assessment publicly shifted from an unknown technological origin to one of a “celestial origin.” The review suggests that this shift was a deliberate effort to avoid diplomatic conflict with the Soviet Union. The report’s final assessment concludes that while most reported incidents were likely misidentified natural phenomena, the “best evidence” suggested a small number of “real incidents” involving low-flying V-1 type missiles, likely attributable to Soviet tests of captured German technology.",,,Department of War,1/9/47,Sweden,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOW-UAP-D099_Intelligence-Review-of-Ghost-Rocket-Incidents_1947.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D099_Intelligence-Review-of-Ghost-Rocket-Incidents_1947.jpg,A declassified 1947 War Department General Staff intelligence review.,260807-D-D0360-1088,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-D100, Air Materiel Command Report on Unidentified Flying Objects, 1947-1948 ",PDF,,,"This file is a collection of U.S. Government memoranda and correspondence relating to “Project Sign,” a 1948 U.S. Air Force program to investigate reports of high-performance airborne objects. The documents characterize some of these reports as being consistent with “real” objects rather than fabrications or resulting from perceptual errors. The U.S. Air Force cites the reported characteristics of the phenomena, e.g., high speed and maneuverability, as exceeding known performance envelopes of U.S. military aircraft and thereby presenting a potential national security threat, if validated. This potential threat prompted the Air Force to call on the Air Materiel Command (AMC), the Service’s Major Command for logistics and procurement from 1946 to 1961, to gather further evidence to assess the validity of the reports. The Air Force emphasized that there was an “imperative need” for such evidence to enable appropriate countermeasures. The stated urgency of this request reflects the strategic environment of the early Cold War, a period characterized by heightened national defense concerns amid rapid global advancements in aerospace design and development. In framing the call for an investigation, the Air Force noted that sustained public interest and persistent inquiries from the press may eventually require an official statement in response.

AMC’s investigation found that observers were generally not mistaken when reporting that they had seen an airborne object, but that their characterizations of those objects as unusual was likely a reflection of the “limits of their personal experience.” It identified “a great many” of the objects reported with a rounded appearance as “weather or upper air scientific balloons of some type.” It also identified several cases in which the reported objects were most likely celestial phenomena, such as Venus. AMC found that a small number of reports lacked a “reasonable everyday explanation,” but that “so far, no physical evidence of the existence of the unidentified sightings has been obtained.” AMC expressly considered whether the phenomena may have been “vehicles from another planet,” but found no evidence supporting such an origin. Ultimately, AMC found that “there is as yet no conclusive proof that unidentified flying objects, other than those which are known to be balloons, are real aircraft.” In light of these findings, AMC recommended that the Department of War should avoid publicly commenting on the subject of “flying discs.” Responding to the Air Force’s anticipated concerns regarding public interest in the subject, AMC recommended that the Department should reply in terms that minimize the investigation’s inconclusive findings, focusing on positive determinations in cases assessed to be weather balloons and celestial phenomena.",,,Department of War,1947-1948,N/A,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOW-UAP-D100_Air-Materiel-Command-Report-on-UFOs_1947-1948.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D100_Air-Materiel-Command-Report-on-UFOs_1947-1948.jpg,"A declassified document regarding ""Flying Object Incidents in the United States.""",260807-D-D0360-1089,,,,,,,,,,,,
,TRUE,8/7/26,"DOW-UAP-D101, Intelligence Information Report, Unresolved UAP Report, Gulf of Oman, 2021",PDF,DOW-UAP-PR117 | DOW-UAP-PR118 | DOW-UAP-PR119 | DOW-UAP-PR120 | DOW-UAP-PR121 | DOW-UAP-PR122,,"This document is an Intelligence Information Report (IIR), the primary standardized format utilized by the Department of War, military services, and the broader Intelligence Community to disseminate unevaluated intelligence information derived from human sources (HUMINT), open sources, and field collection activities. IIRs are not finished intelligence products; they serve as inputs for subsequent all-source intelligence assessments. This report accompanies the footage contained within DOW-UAP-PR117 through DOW-UAP-PR122.

This report documents an observation by the aircrew of a U.S. Special Operations Forces (USSOF) AC-130 Gunship on September 8, 2021, during a nighttime live-fire training exercise over the Gulf of Oman. The aircrew reported first observing two unidentified anomalous phenomena (UAP) after dropping a water-activated flare. The report describes the UAP as stationary, approximately four feet in diameter, 0-20 feet above the water’s surface.

Throughout the training sortie, the aircrew reported observing approximately 25 instances involving similar phenomena via infrared sensor, describing them as “cold orbs.” Aircrew visual estimates of the UAP’s apparent speed range from 250 to 1,300 miles per hour. The report characterizes the UAP’s behavior as “maneuvering aggressively,” “flying in various formations,” and appearing to react to deployments of the aircraft’s onboard weapons systems. The aircrew stated that they were unable to capture video footage of the phenomena because the aircraft’s digital video recorder was not functioning during the incident.

All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.",,,Department of War,9/8/21,,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOW-UAP-D101_IIR_Unresolved-UAP-Report-Gulf-of-Oman_2021.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D101_IIR_Unresolved-UAP-Report-Gulf-of-Oman_2021.jpg,An Intelligence Information Report (IIR) documenting the observations of U.S. military personnel reporting UAP in 2021.,260807-D-D0360-1090,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR117, Unresolved UAP Report, Gulf of Oman, 2021",VID,DOW-UAP-PR118 | DOW-UAP-PR119 | DOW-UAP-PR120 | DOW-UAP-PR121 | DOW-UAP-PR122,DOW-UAP-PR-101,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 16 seconds of video footage. This footage is a secondary capture, recorded via a cellular device, of an infrared sensor display aboard a U.S. Special Operations Forces AC-130J Gunship. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR117 through DOW-UAP-PR122 was captured contemporaneously. An accompanying Intelligence Information Report, DOW-UAP-D101, describes the phenomena as “cold orbs” approximately four feet in diameter. 

Video description:

00:00-00:16: An area of contrast remains generally within the center of the sensor field-of-view. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017793,,Department of War,9/8/21,,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR118, Unresolved UAP Report, Gulf of Oman, 2021",VID,DOW-UAP-PR117 | DOW-UAP-PR119 | DOW-UAP-PR120 | DOW-UAP-PR121 | DOW-UAP-PR122,DOW-UAP-PR-101,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 30 seconds of video footage. This footage is a secondary capture, recorded via a cellular device, of an infrared sensor display aboard a U.S. Special Operations Forces AC-130J Gunship. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR117 through DOW-UAP-PR122 was captured contemporaneously. An accompanying Intelligence Information Report, DOW-UAP-D101, describes the phenomena as “cold orbs” approximately four feet in diameter.

Video description: 

00:00-00:30: An area of contrast remains generally within the center of the sensor field-of-view, momentarily exiting the bottom of the frame.

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance.",1017795,,Department of War,9/8/21,,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR119, Unresolved UAP Report, Gulf of Oman, 2021",VID,DOW-UAP-PR117 | DOW-UAP-PR118 | DOW-UAP-PR120 | DOW-UAP-PR121 | DOW-UAP-PR122,DOW-UAP-PR-101,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of two seconds of video footage. This footage is a secondary capture, recorded via a cellular device, of an infrared sensor display aboard a U.S. Special Operations Forces AC-130J Gunship. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR117 through DOW-UAP-PR122 was captured contemporaneously. An accompanying Intelligence Information Report, DOW-UAP-D101, describes the phenomena as “cold orbs” approximately four feet in diameter.

Video description: 

00:00-00:02: An area of contrast remains generally within the center of the sensor field-of-view. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017798,,Department of War,9/8/21,,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR120, Unresolved UAP Report, Gulf of Oman, 2021",VID,DOW-UAP-PR117 | DOW-UAP-PR118 | DOW-UAP-PR119 | DOW-UAP-PR121 | DOW-UAP-PR122,DOW-UAP-PR-101,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 13 seconds of video footage. This footage is a secondary capture, recorded via a cellular device, of an infrared sensor display aboard a U.S. Special Operations Forces AC-130J Gunship. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR117 through DOW-UAP-PR122 was captured contemporaneously. An accompanying Intelligence Information Report, DOW-UAP-D101, describes the phenomena as “cold orbs” approximately four feet in diameter.

Video description: 

00:00-00:08: An area of contrast remains generally within the center of the sensor field-of-view. Visual elements of the sensor display enter and exit the frame throughout the duration of the video.

00:08-00:13: The sensor changes modalities twice and the area of contrast loses distinctiveness against the background. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017800,,Department of War,9/8/21,,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR121, Unresolved UAP Report, Gulf of Oman, 2021",VID,DOW-UAP-PR117 | DOW-UAP-PR118 | DOW-UAP-PR119 | DOW-UAP-PR120 | DOW-UAP-PR122,DOW-UAP-PR-101,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 34 seconds of video footage. This footage is a secondary capture, recorded via a cellular device, of an infrared sensor display aboard a U.S. Special Operations Forces AC-130J Gunship. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR117 through DOW-UAP-PR122 was captured contemporaneously. An accompanying Intelligence Information Report, DOW-UAP-D101, describes the phenomena as “cold orbs” approximately four feet in diameter.

Video description:

00:00-00:12: An area of contrast remains generally within the center of the sensor field-of-view. Visual elements of the sensor display enter and exit the frame throughout the duration of the video.

00:13-00:18: A relatively larger area of contrast transits from the bottom of the frame to the top of the sensor’s field-of-view, then re-enters from the top left to the bottom left of the frame. The relatively smaller area of contrast exits the bottom of the frame, and re-enters from the upper-right quarter of the frame.

00:19-00:34: The sensor adjusts, and an area of contrast enters the sensor field-of-view from the top of the frame, and remains generally within the center of the frame.

AARO Comment: This video footage significantly overlaps in content with DOW-UAP-PR122. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017802,,Department of War,9/8/21,,,,,,,,,,,,,,,,,
,,8/7/26,"DOW-UAP-PR122, Unresolved UAP Report, Gulf of Oman, 2021",VID,DOW-UAP-PR117 | DOW-UAP-PR118 | DOW-UAP-PR119 | DOW-UAP-PR120 | DOW-UAP-PR121,DOW-UAP-PR-101,"The United States Central Command submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office (AARO) consisting of 26 seconds of video footage. This footage is a secondary capture, recorded via a cellular device, of an infrared sensor display aboard a U.S. Special Operations Forces AC-130J Gunship. This footage does not represent native primary sensor data, and the secondary recording method introduces limitations in fidelity, resolution, and overall visual quality. Artifacts inherent to filming a screen, such as blurring or flickering, may be present. The footage contained within DOW-UAP-PR117 through DOW-UAP-PR122 was captured contemporaneously. An accompanying Intelligence Information Report, DOW-UAP-D101, describes the phenomena as “cold orbs” approximately four feet in diameter.

Video description: 

00:00-00:05: An area of contrast remains generally within the center of the sensor field-of-view. Visual elements of the sensor display enter and exit the frame throughout the duration of the video.

00:06-00:07: A relatively larger area of contrast transits from the bottom of the frame to the top of the sensor’s field-of-view, then re-enters from the top left to the bottom left of the frame. The relatively smaller area of contrast exits the bottom of the frame, and re-enters from the upper-right quarter of the frame.

00:08-00:26: The sensor adjusts, and an area of contrast enters the sensor field-of-view from the top of the frame, and remains generally within the center of the frame.

AARO Comment: This video footage significantly overlaps in content with DOW-UAP-PR121. 

This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance. ",1017803,,Department of War,9/8/21,,,,,,,,,,,,,,,,,
